price_count;createdAt;updatedAt;accProductId;accPriceTypeId
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012581;1
190;2018-10-27 00:00:00;2018-10-27 00:00:00;3012582;1
208;2018-10-27 00:00:00;2018-10-27 00:00:00;3012583;1
28;2018-10-27 00:00:00;2018-10-27 00:00:00;3012584;1
42;2018-10-27 00:00:00;2018-10-27 00:00:00;3012585;1
24;2018-10-27 00:00:00;2018-10-27 00:00:00;3012586;1
24;2018-10-27 00:00:00;2018-10-27 00:00:00;3012587;1
20;2018-10-27 00:00:00;2018-10-27 00:00:00;3012588;1
17;2018-10-27 00:00:00;2018-10-27 00:00:00;3012589;1
13;2018-10-27 00:00:00;2018-10-27 00:00:00;3012590;1
76;2018-10-27 00:00:00;2018-10-27 00:00:00;3012591;1
22;2018-10-27 00:00:00;2018-10-27 00:00:00;3012592;1
22;2018-10-27 00:00:00;2018-10-27 00:00:00;3012593;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012594;1
43;2018-10-27 00:00:00;2018-10-27 00:00:00;3012595;1
43;2018-10-27 00:00:00;2018-10-27 00:00:00;3012596;1
20;2018-10-27 00:00:00;2018-10-27 00:00:00;3012597;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012598;1
16;2018-10-27 00:00:00;2018-10-27 00:00:00;3012599;1
16;2018-10-27 00:00:00;2018-10-27 00:00:00;3012600;1
51;2018-10-27 00:00:00;2018-10-27 00:00:00;3012601;1
21;2018-10-27 00:00:00;2018-10-27 00:00:00;3012602;1
34;2018-10-27 00:00:00;2018-10-27 00:00:00;3012603;1
30;2018-10-27 00:00:00;2018-10-27 00:00:00;3012604;1
43;2018-10-27 00:00:00;2018-10-27 00:00:00;3012605;1
27;2018-10-27 00:00:00;2018-10-27 00:00:00;3012606;1
38;2018-10-27 00:00:00;2018-10-27 00:00:00;3012607;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012608;1
38;2018-10-27 00:00:00;2018-10-27 00:00:00;3012609;1
48;2018-10-27 00:00:00;2018-10-27 00:00:00;3012610;1
51;2018-10-27 00:00:00;2018-10-27 00:00:00;3012611;1
64;2018-10-27 00:00:00;2018-10-27 00:00:00;3012612;1
73;2018-10-27 00:00:00;2018-10-27 00:00:00;3012613;1
64;2018-10-27 00:00:00;2018-10-27 00:00:00;3012614;1
73;2018-10-27 00:00:00;2018-10-27 00:00:00;3012615;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012616;1
58;2018-10-27 00:00:00;2018-10-27 00:00:00;3012617;1
56;2018-10-27 00:00:00;2018-10-27 00:00:00;3012618;1
40;2018-10-27 00:00:00;2018-10-27 00:00:00;3012619;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012620;1
33;2018-10-27 00:00:00;2018-10-27 00:00:00;3012621;1
44;2018-10-27 00:00:00;2018-10-27 00:00:00;3012622;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012623;1
139;2018-10-27 00:00:00;2018-10-27 00:00:00;3012624;1
147;2018-10-27 00:00:00;2018-10-27 00:00:00;3012625;1
145;2018-10-27 00:00:00;2018-10-27 00:00:00;3012626;1
140;2018-10-27 00:00:00;2018-10-27 00:00:00;3012627;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012628;1
228;2018-10-27 00:00:00;2018-10-27 00:00:00;3012629;1
14;2018-10-27 00:00:00;2018-10-27 00:00:00;3012630;1
10;2018-10-27 00:00:00;2018-10-27 00:00:00;3012631;1
240;2018-10-27 00:00:00;2018-10-27 00:00:00;3012632;1
13;2018-10-27 00:00:00;2018-10-27 00:00:00;3012633;1
295;2018-10-27 00:00:00;2018-10-27 00:00:00;3012634;1
15;2018-10-27 00:00:00;2018-10-27 00:00:00;3012635;1
59;2018-10-27 00:00:00;2018-10-27 00:00:00;3012636;1
276;2018-10-27 00:00:00;2018-10-27 00:00:00;3012637;1
270;2018-10-27 00:00:00;2018-10-27 00:00:00;3012638;1
45;2018-10-27 00:00:00;2018-10-27 00:00:00;3012639;1
160;2018-10-27 00:00:00;2018-10-27 00:00:00;3012640;1
51;2018-10-27 00:00:00;2018-10-27 00:00:00;3012641;1
50;2018-10-27 00:00:00;2018-10-27 00:00:00;3012642;1
50;2018-10-27 00:00:00;2018-10-27 00:00:00;3012643;1
42;2018-10-27 00:00:00;2018-10-27 00:00:00;3012644;1
48;2018-10-27 00:00:00;2018-10-27 00:00:00;3012645;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012646;1
400;2018-10-27 00:00:00;2018-10-27 00:00:00;3012647;1
670;2018-10-27 00:00:00;2018-10-27 00:00:00;3012648;1
670;2018-10-27 00:00:00;2018-10-27 00:00:00;3012649;1
670;2018-10-27 00:00:00;2018-10-27 00:00:00;3012650;1
670;2018-10-27 00:00:00;2018-10-27 00:00:00;3012651;1
650;2018-10-27 00:00:00;2018-10-27 00:00:00;3012652;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012653;1
51;2018-10-27 00:00:00;2018-10-27 00:00:00;3012654;1
99;2018-10-27 00:00:00;2018-10-27 00:00:00;3012655;1
670;2018-10-27 00:00:00;2018-10-27 00:00:00;3012656;1
670;2018-10-27 00:00:00;2018-10-27 00:00:00;3012657;1
650;2018-10-27 00:00:00;2018-10-27 00:00:00;3012658;1
650;2018-10-27 00:00:00;2018-10-27 00:00:00;3012659;1
670;2018-10-27 00:00:00;2018-10-27 00:00:00;3012660;1
223;2018-10-27 00:00:00;2018-10-27 00:00:00;3012661;1
362;2018-10-27 00:00:00;2018-10-27 00:00:00;3012662;1
320;2018-10-27 00:00:00;2018-10-27 00:00:00;3012663;1
280;2018-10-27 00:00:00;2018-10-27 00:00:00;3012664;1
500;2018-10-27 00:00:00;2018-10-27 00:00:00;3012665;1
350;2018-10-27 00:00:00;2018-10-27 00:00:00;3012666;1
50;2018-10-27 00:00:00;2018-10-27 00:00:00;3012667;1
58;2018-10-27 00:00:00;2018-10-27 00:00:00;3012668;1
65;2018-10-27 00:00:00;2018-10-27 00:00:00;3012669;1
56;2018-10-27 00:00:00;2018-10-27 00:00:00;3012670;1
28;2018-10-27 00:00:00;2018-10-27 00:00:00;3012671;1
36;2018-10-27 00:00:00;2018-10-27 00:00:00;3012672;1
32;2018-10-27 00:00:00;2018-10-27 00:00:00;3012673;1
21;2018-10-27 00:00:00;2018-10-27 00:00:00;3012674;1
30;2018-10-27 00:00:00;2018-10-27 00:00:00;3012675;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012676;1
32;2018-10-27 00:00:00;2018-10-27 00:00:00;3012677;1
27;2018-10-27 00:00:00;2018-10-27 00:00:00;3012678;1
54;2018-10-27 00:00:00;2018-10-27 00:00:00;3012679;1
28;2018-10-27 00:00:00;2018-10-27 00:00:00;3012680;1
36;2018-10-27 00:00:00;2018-10-27 00:00:00;3012681;1
38;2018-10-27 00:00:00;2018-10-27 00:00:00;3012682;1
17;2018-10-27 00:00:00;2018-10-27 00:00:00;3012683;1
22;2018-10-27 00:00:00;2018-10-27 00:00:00;3012684;1
42;2018-10-27 00:00:00;2018-10-27 00:00:00;3012685;1
24;2018-10-27 00:00:00;2018-10-27 00:00:00;3012686;1
31;2018-10-27 00:00:00;2018-10-27 00:00:00;3012687;1
31;2018-10-27 00:00:00;2018-10-27 00:00:00;3012688;1
50;2018-10-27 00:00:00;2018-10-27 00:00:00;3012689;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012690;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012691;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012692;1
38;2018-10-27 00:00:00;2018-10-27 00:00:00;3012693;1
75;2018-10-27 00:00:00;2018-10-27 00:00:00;3012694;1
70;2018-10-27 00:00:00;2018-10-27 00:00:00;3012695;1
130;2018-10-27 00:00:00;2018-10-27 00:00:00;3012696;1
93;2018-10-27 00:00:00;2018-10-27 00:00:00;3012697;1
124;2018-10-27 00:00:00;2018-10-27 00:00:00;3012698;1
42;2018-10-27 00:00:00;2018-10-27 00:00:00;3012699;1
73;2018-10-27 00:00:00;2018-10-27 00:00:00;3012700;1
53;2018-10-27 00:00:00;2018-10-27 00:00:00;3012701;1
124;2018-10-27 00:00:00;2018-10-27 00:00:00;3012702;1
51;2018-10-27 00:00:00;2018-10-27 00:00:00;3012703;1
84;2018-10-27 00:00:00;2018-10-27 00:00:00;3012704;1
124;2018-10-27 00:00:00;2018-10-27 00:00:00;3012705;1
65;2018-10-27 00:00:00;2018-10-27 00:00:00;3012706;1
83;2018-10-27 00:00:00;2018-10-27 00:00:00;3012707;1
149;2018-10-27 00:00:00;2018-10-27 00:00:00;3012708;1
96;2018-10-27 00:00:00;2018-10-27 00:00:00;3012709;1
99;2018-10-27 00:00:00;2018-10-27 00:00:00;3012710;1
112;2018-10-27 00:00:00;2018-10-27 00:00:00;3012711;1
37;2018-10-27 00:00:00;2018-10-27 00:00:00;3012712;1
75;2018-10-27 00:00:00;2018-10-27 00:00:00;3012713;1
123;2018-10-27 00:00:00;2018-10-27 00:00:00;3012714;1
149;2018-10-27 00:00:00;2018-10-27 00:00:00;3012715;1
134;2018-10-27 00:00:00;2018-10-27 00:00:00;3012716;1
70;2018-10-27 00:00:00;2018-10-27 00:00:00;3012717;1
66;2018-10-27 00:00:00;2018-10-27 00:00:00;3012718;1
104;2018-10-27 00:00:00;2018-10-27 00:00:00;3012719;1
100;2018-10-27 00:00:00;2018-10-27 00:00:00;3012720;1
36;2018-10-27 00:00:00;2018-10-27 00:00:00;3012721;1
13;2018-10-27 00:00:00;2018-10-27 00:00:00;3012722;1
22;2018-10-27 00:00:00;2018-10-27 00:00:00;3012723;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012724;1
43;2018-10-27 00:00:00;2018-10-27 00:00:00;3012725;1
20;2018-10-27 00:00:00;2018-10-27 00:00:00;3012726;1
20;2018-10-27 00:00:00;2018-10-27 00:00:00;3012727;1
16;2018-10-27 00:00:00;2018-10-27 00:00:00;3012728;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012729;1
21;2018-10-27 00:00:00;2018-10-27 00:00:00;3012730;1
34;2018-10-27 00:00:00;2018-10-27 00:00:00;3012731;1
42;2018-10-27 00:00:00;2018-10-27 00:00:00;3012732;1
28;2018-10-27 00:00:00;2018-10-27 00:00:00;3012733;1
42;2018-10-27 00:00:00;2018-10-27 00:00:00;3012734;1
42;2018-10-27 00:00:00;2018-10-27 00:00:00;3012735;1
24;2018-10-27 00:00:00;2018-10-27 00:00:00;3012736;1
20;2018-10-27 00:00:00;2018-10-27 00:00:00;3012737;1
22;2018-10-27 00:00:00;2018-10-27 00:00:00;3012738;1
41;2018-10-27 00:00:00;2018-10-27 00:00:00;3012739;1
35;2018-10-27 00:00:00;2018-10-27 00:00:00;3012740;1
40;2018-10-27 00:00:00;2018-10-27 00:00:00;3012741;1
45;2018-10-27 00:00:00;2018-10-27 00:00:00;3012742;1
49;2018-10-27 00:00:00;2018-10-27 00:00:00;3012743;1
47;2018-10-27 00:00:00;2018-10-27 00:00:00;3012744;1
50;2018-10-27 00:00:00;2018-10-27 00:00:00;3012745;1
50;2018-10-27 00:00:00;2018-10-27 00:00:00;3012746;1
0;2018-10-27 00:00:00;2018-10-27 00:00:00;3012747;1
40;2018-10-27 00:00:00;2018-10-27 00:00:00;3012748;1
50;2018-10-27 00:00:00;2018-10-27 00:00:00;3012749;1
